(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: add_water
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: add_water
(aabounak)Running: Start_machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: Boil_water [ exec-time = 5.9604644775390625e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.042931318283081 s ]
(aabounak)Running: Start_machine [ exec-time = 1.6689300537109375e-06 s ]
(aabounak)Running: Boil_water [ exec-time = 5.245208740234375e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.0641307830810547 s ]
(aabounak)Running: Start_machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: Boil_water [ exec-time = 4.76837158203125e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.0667331218719482 s ]
(aabounak)Running: Start_machine [ exec-time = 2.1457672119140625e-06 s ]
(aabounak)Running: Boil_water [ exec-time = 5.0067901611328125e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.0509438514709473 s ]
(aabounak)Running: Start_machine [ exec-time = 1.71661376953125e-05 s ]
(aabounak)Running: Make_coffee [ exec-time = 0.0002491474151611328 s ]
(aabounak)Running: Start_machine [ exec-time = 1.0013580322265625e-05 s ]
(aabounak)Running: Make_coffee [ exec-time = 0.0001690387725830078 s ]
(aabounak)Running: Add_water [ exec-time = 1.000213861465454 s ]
(aabounak)Running: start_machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: boil_water [ exec-time = 3.0994415283203125e-06 s ]
(aabounak)Running: make_coffee [ exec-time = 2.045114755630493 s ]
(aabounak)Running: start_machine [ exec-time = 2.1457672119140625e-06 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0762 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0001 ms ]
(aabounak)Running: Add Water [ exec-time = 3.0028 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.01 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2065.64 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.01 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2054.89 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.01 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2045.26 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2050.89 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.02 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.23 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.01 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.1 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0515 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0509 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0506 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0511 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ]
(aabounak)Running: Add Water [ exec-time = 2.0036 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0645 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0484 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0288 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0288 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0001 ms ]
(aabounak)Running: Add Water [ exec-time = 1.0032 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0565 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0580 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0571 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0573 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0001 ms ]
(aabounak)Running: Add Water [ exec-time = 1.0028 ms ]
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]n()Running: [ exec-time = 2.0541 ] [ function-name = Make Coffee ]n()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]n()Running: [ exec-time = 2.0570 ] [ function-name = Make Coffee ]n()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]n()Running: [ exec-time = 2.0601 ] [ function-name = Make Coffee ]n()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]n()Running: [ exec-time = 2.0486 ] [ function-name = Make Coffee ]n()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n()Running: [ exec-time = 0.0002 ] [ function-name = Make Coffee ]n()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n()Running: [ exec-time = 0.0002 ] [ function-name = Make Coffee ]n()Running: [ exec-time = 3.0005 ] [ function-name = Add Water ]n()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n
()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]n
()Running: [ exec-time = 2.0482 ] [ function-name = Make Coffee ]n
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n
()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]n
()Running: [ exec-time = 2.0510 ] [ function-name = Make Coffee ]n
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n
()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]n
()Running: [ exec-time = 2.0472 ] [ function-name = Make Coffee ]n
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n
()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]n
()Running: [ exec-time = 2.0549 ] [ function-name = Make Coffee ]n
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n
()Running: [ exec-time = 0.0003 ] [ function-name = Make Coffee ]n
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]n
()Running: [ exec-time = 0.0003 ] [ function-name = Make Coffee ]n
()Running: [ exec-time = 5.0048 ] [ function-name = Add Water ]n
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]
()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]
()Running: [ exec-time = 2.0556 ] [ function-name = Make Coffee ]
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]
()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]
()Running: [ exec-time = 2.0620 ] [ function-name = Make Coffee ]
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]
()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]
()Running: [ exec-time = 2.0498 ] [ function-name = Make Coffee ]
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]
()Running: [ exec-time = 0.0000 ] [ function-name = Boil Water ]
()Running: [ exec-time = 2.0401 ] [ function-name = Make Coffee ]
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]
()Running: [ exec-time = 0.0002 ] [ function-name = Make Coffee ]
()Running: [ exec-time = 0.0000 ] [ function-name = Start Machine ]
()Running: [ exec-time = 0.0001 ] [ function-name = Make Coffee ]
()Running: [ exec-time = 5.0025 ] [ function-name = Add Water ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0535 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0512 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0537 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0451 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0508 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0508 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 0.0003 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms\s ]
(aabounak)Running: Add Water [ exec-time = 3.0022 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0358 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0610 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0618 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0477 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms\s ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms\s ]
(aabounak)Running: Add Water [ exec-time = 2.0009 ms\s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0762 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0510 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0553 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ](aabounak)Running: Boil Water [ exec-time = 0.0000 ms ](aabounak)Running: Make Coffee [ exec-time = 2.0401 s ](aabounak)Running: Start Machine [ exec-time = 0.0000 ms ](aabounak)Running: Boil Water [ exec-time = 0.0000 ms ](aabounak)Running: Make Coffee [ exec-time = 2.0239 s ](aabounak)Running: Start Machine [ exec-time = 0.0000 ms ](aabounak)Running: Boil Water [ exec-time = 0.0000 ms ](aabounak)Running: Make Coffee [ exec-time = 2.0452 s ](aabounak)Running: Start Machine [ exec-time = 0.0000 ms ](aabounak)Running: Boil Water [ exec-time = 0.0000 ms ](aabounak)Running: Make Coffee [ exec-time = 2.0331 s ](aabounak)Running: Start Machine [ exec-time = 0.0000 ms ](aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ](aabounak)Running: Start Machine [ exec-time = 0.0000 ms ](aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ](aabounak)Running: Add Water [ exec-time = 2.0015 s ](aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0441 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0359 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0593 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0382 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0326 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0524 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0572 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0433 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0483 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0626 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0001 ms ]
(aabounak)Running: Add Water [ exec-time = 4.0003 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0538 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0542 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0001 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0569 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0627 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee   [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee   [ exec-time = 0.0002 ms ]
(aabounak)Running: Add Water      [ exec-time = 2.0037 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0705 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0538 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0511 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0451 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee   [ exec-time = 0.0003 ms ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee   [ exec-time = 0.0001 ms ]
(aabounak)Running: Add Water      [ exec-time = 4.0006 s ]
(aabounak)Running: Start Machine                      [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water                      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee                      [ exec-time = 2.0597 s ]
(aabounak)Running: Start Machine                      [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water                      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee                      [ exec-time = 2.0470 s ]
(aabounak)Running: Start Machine                      [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water                      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee                      [ exec-time = 2.0495 s ]
(aabounak)Running: Start Machine                      [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water                      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee                      [ exec-time = 2.0450 s ]
(aabounak)Running: Start Machine                      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee                      [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine                      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee                      [ exec-time = 0.0002 ms ]
(aabounak)Running: Add Water                      [ exec-time = 5.0050 s ]
(aabounak)Running: Start Machine         [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water            [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee           [ exec-time = 2.0570 s ]
(aabounak)Running: Start Machine         [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water            [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee           [ exec-time = 2.0527 s ]
(aabounak)Running: Start Machine         [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water            [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee           [ exec-time = 2.0739 s ]
(aabounak)Running: Start Machine         [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water            [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee           [ exec-time = 2.0863 s ]
(aabounak)Running: Start Machine         [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee           [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine         [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee           [ exec-time = 0.0001 ms ]
(aabounak)Running: Add Water             [ exec-time = 3.0022 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0724 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0662 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0714 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water    [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee    [ exec-time = 2.0507 s ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee   [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine  [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee   [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water      [ exec-time = 0.0000 ms ]
(aabounak)Running: Make Coffee     [ exec-time = 2.0532 s ]
(aabounak)Running: Start Machine   [ exec-time = 0.0000 ms ]
(aabounak)Running: Boil Water      [ exec-time = 0.0000 ms ]
